order,log10_beta,beta,mmd,log10_mmd,gp_pred_log10_mmd_before
0,-8,1e-08,0.302052,-0.519919,nan
1,1,10,0.172401,-0.76346,-1.00279e-22
2,-3.5,0.000316228,0.263287,-0.579571,-4.78256e-06
3,0.276382,1.88965,0.0753852,-1.12271,-0.552678
4,-0.0854271,0.821434,0.0524709,-1.28008,-1.05482
5,0.0954774,1.24588,0.0559825,-1.25195,-1.2128
6,-0.266332,0.541587,0.0470957,-1.32702,-1.23396
7,-4.56281,2.73644e-05,0.290526,-0.536815,-0.284325
8,-0.447236,0.357079,0.0489931,-1.30986,-1.30122
9,-1.9397,0.0114895,0.197251,-0.704981,-0.559064
10,-1.57789,0.0264308,0.17329,-0.761226,-0.854688
11,-1.75879,0.0174263,0.218453,-0.660643,-0.720491
12,-5.78392,1.64468e-06,0.317287,-0.498548,-0.438265
13,-2.79899,0.00158857,0.283058,-0.548124,-1.15055
14,-5.60302,2.49451e-06,0.320178,-0.494608,-0.43393
15,-0.628141,0.235429,0.0496373,-1.30419,-1.26448
16,-0.809045,0.155223,0.0674435,-1.17106,-1.22582
17,-0.98995,0.102341,0.0687907,-1.16247,-1.0755
18,0.638191,4.34701,0.152296,-0.817313,-0.896459
19,0.457286,2.86607,0.139359,-0.855865,-0.969623
20,-1.17085,0.0674754,0.100452,-0.998042,-1.01618
21,-4.0201,9.54772e-05,0.314037,-0.503019,-0.777818
22,-7.32161,4.76861e-08,0.332264,-0.478517,-0.887048
23,-1.35176,0.0444878,0.127836,-0.893347,-0.883422
24,-6.46231,3.44896e-07,0.298436,-0.525149,-0.676783
25,-6.64322,2.27397e-07,0.280139,-0.552626,-0.50939
26,-6.82412,1.49927e-07,0.289134,-0.538901,-0.54063
27,-2.30151,0.00499451,0.223557,-0.650612,-0.643235
28,0.819095,6.59319,0.158784,-0.799193,-0.719049
29,-2.1206,0.00757525,0.238477,-0.622554,-0.662233
30,-5.01508,9.65883e-06,0.324493,-0.488794,-0.592142
31,-2.48241,0.00329297,0.233198,-0.632276,-0.607114
32,-5.19598,6.36825e-06,0.316053,-0.50024,-0.488219
